tag_id,canonical_name,namespace,evidence_type,allowed_inputs,relation_count
env.v2a_079.seating_prospect_facing_entrance_vs_back_to_entrance,Seating prospect: facing entrance vs back to entrance,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_080.verticality_cues,Verticality cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_081.personal_safety_affordances_lighting_in_corners,Personal safety affordances: lighting in corners,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_082.curvature_prevalence_vs_sharp_angles,Curvature prevalence vs sharp angles,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_083.symmetry_and_regularity,Symmetry and regularity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_084.fractal_self_similar_edge_statistics,Fractal/self-similar edge statistics,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_085.clutter_disorder_object_density_occlusion_surface_coverage,"Clutter/disorder: object density, occlusion, surface coverage",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_086.cleanliness_maintenance_stains_damage_wear,"Cleanliness/maintenance: stains, damage, wear",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_087.color_diversity_and_saturation,Color diversity and saturation,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_088.texture_density,Texture density,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_089.artwork_density_and_semantic_content,Artwork density and semantic content,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_090.naturalness_of_materials,Naturalness of materials,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_091.visual_complexity_gradients,Visual complexity gradients,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_092.signage_density_informational_load,Signage density (informational load,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_093.visual_affordances_for_organization,Visual affordances for organization,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_094.orderliness_of_lines_alignment,Orderliness of lines: alignment,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_095.perceptual_mystery_cues,Perceptual ‘mystery’ cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_096.visible_vegetation_quantity_proximity_and_distribution,"Visible vegetation quantity, proximity, and distribution",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_097.window_view_content_greenery_sky_water_vs_built_up,"Window view content: greenery, sky, water vs built-up",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_098.natural_materials_wood_stone,Natural materials: wood/stone,env,computed,computed,2
env.v2a_099.blue_space,Blue-space,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_100.prospect_to_distant_views,Prospect to distant views,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_101.natural_ventilation_cues,Natural ventilation cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_102.natural_sound_sources,Natural sound sources,env,sensor,computed;image_2d;image_3d;metadata;sensor,0
env.v2a_103.daylight_nature_coupling,Daylight + nature coupling,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_104.seasonal_cues,Seasonal cues,env,sensor,computed;image_2d;image_3d;sensor,0
